company_id,year,capital_allocation_label
TCS,Mar-13,Growth Investment
TCS,Mar-14,Growth Investment
TCS,Mar-15,Growth Investment
TCS,Mar-16,Growth Investment
TCS,Mar-17,Growth Investment
TCS,Mar-18,Stable
TCS,Mar-19,Stable
TCS,Mar-20,Stable
TCS,Mar-21,Growth Investment
TCS,Mar-22,Growth Investment
TCS,Mar-23,Stable
TCS,Mar-24,Stable
ABB,Dec 2012,Growth Investment
ABB,Mar 2014,Growth Investment
ABB,Mar 2015,Growth Investment
ABB,Mar 2016,Growth Investment
ABB,Mar 2017,Growth Investment
ABB,Mar 2018,Growth Investment
ABB,Mar 2019,Growth Investment
ABB,Mar 2020,Growth Investment
ABB,Mar 2021,Growth Investment
ABB,Mar 2022,Growth Investment
ABB,Mar 2023,Growth Investment
ABB,Mar 2024,Growth Investment
ABB,Mar 2014,Stable
ABB,Mar 2015,Financial Stress
ABB,Mar 2016,Growth Investment
ABB,Mar 2017,Growth Investment
ABB,Mar 2018,Growth Investment
ABB,Mar 2019,Growth Investment
ABB,Mar 2020,Growth Investment
ABB,Mar 2021,Growth Investment
ABB,Mar 2022,Growth Investment
ABB,Mar 2023,Growth Investment
ABB,Mar 2024,Growth Investment
ADANIENSOL,Mar 2014,Stable
ADANIENSOL,Mar 2015,Financial Stress
ADANIENSOL,Mar 2016,Growth Investment
ADANIENSOL,Mar 2017,Growth Investment
ADANIENSOL,Mar 2018,Growth Investment
ADANIENSOL,Mar 2019,Growth Investment
ADANIENSOL,Mar 2020,Growth Investment
ADANIENSOL,Mar 2021,Growth Investment
ADANIENSOL,Mar 2022,Growth Investment
ADANIENSOL,Mar 2023,Growth Investment
ADANIENSOL,Mar 2024,Growth Investment
ADANIENT,Mar 2013,Growth Investment
ADANIENT,Mar 2014,Growth Investment
ADANIENT,Mar 2015,Growth Investment
ADANIENT,Mar 2016,Growth Investment
ADANIENT,Mar 2017,Growth Investment
ADANIENT,Mar 2018,Growth Investment
ADANIENT,Mar 2019,Stable
ADANIENT,Mar 2020,Growth Investment
ADANIENT,Mar 2021,Growth Investment
ADANIENT,Mar 2022,Growth Investment
ADANIENT,Mar 2023,Growth Investment
ADANIENT,Mar 2024,Growth Investment
ADANIGREEN,Mar 2017,Growth Investment
ADANIGREEN,Mar 2018,Growth Investment
ADANIGREEN,Mar 2019,Growth Investment
ADANIGREEN,Mar 2020,Growth Investment
ADANIGREEN,Mar 2021,Growth Investment
ADANIGREEN,Mar 2022,Growth Investment
ADANIGREEN,Mar 2023,Growth Investment
ADANIGREEN,Mar 2024,Growth Investment
ADANIPORTS,Mar 2013,Growth Investment
ADANIPORTS,Mar 2014,Growth Investment
ADANIPORTS,Mar 2015,Growth Investment
ADANIPORTS,Mar 2016,Growth Investment
ADANIPORTS,Mar 2017,Growth Investment
ADANIPORTS,Mar 2018,Growth Investment
ADANIPORTS,Mar 2019,Growth Investment
ADANIPORTS,Mar 2020,Growth Investment
ADANIPORTS,Mar 2021,Growth Investment
ADANIPORTS,Mar 2022,Growth Investment
ADANIPORTS,Mar 2023,Growth Investment
ADANIPORTS,Mar 2024,Growth Investment
ADANIPOWER,Mar 2013,Growth Investment
ADANIPOWER,Mar 2014,Growth Investment
ADANIPOWER,Mar 2015,Growth Investment
ADANIPOWER,Mar 2016,Growth Investment
ADANIPOWER,Mar 2017,Growth Investment
ADANIPOWER,Mar 2018,Growth Investment
ADANIPOWER,Mar 2019,Growth Investment
ADANIPOWER,Mar 2020,Growth Investment
ADANIPOWER,Mar 2021,Growth Investment
ADANIPOWER,Mar 2022,Stable
ADANIPOWER,Mar 2023,Stable
ADANIPOWER,Mar 2024,Stable
AMBUJACEM,Dec 2012,Growth Investment
AMBUJACEM,Dec 2013,Growth Investment
AMBUJACEM,Dec 2014,Growth Investment
AMBUJACEM,Dec 2015,Growth Investment
AMBUJACEM,Dec 2016,Growth Investment
AMBUJACEM,Dec 2017,Growth Investment
AMBUJACEM,Dec 2018,Growth Investment
AMBUJACEM,Dec 2019,Growth Investment
AMBUJACEM,Dec 2020,Growth Investment
AMBUJACEM,Dec 2021,Growth Investment
AMBUJACEM,Mar 2023,Growth Investment
AMBUJACEM,Mar 2024,Growth Investment
APOLLOHOSP,Mar 2013,Growth Investment
APOLLOHOSP,Mar 2014,Growth Investment
APOLLOHOSP,Mar 2015,Growth Investment
APOLLOHOSP,Mar 2016,Growth Investment
APOLLOHOSP,Mar 2017,Growth Investment
APOLLOHOSP,Mar 2018,Growth Investment
APOLLOHOSP,Mar 2019,Growth Investment
APOLLOHOSP,Mar 2020,Growth Investment
APOLLOHOSP,Mar 2021,Growth Investment
APOLLOHOSP,Mar 2022,Growth Investment
APOLLOHOSP,Mar 2023,Growth Investment
APOLLOHOSP,Mar 2024,Growth Investment
ASIANPAINT,Mar 2013,Growth Investment
ASIANPAINT,Mar 2013,Growth Investment
ASIANPAINT,Mar 2013,Growth Investment
ASIANPAINT,Mar 2013,Growth Investment
ASIANPAINT,Mar 2014,Growth Investment
ASIANPAINT,Mar 2014,Growth Investment
ASIANPAINT,Mar 2014,Growth Investment
ASIANPAINT,Mar 2014,Growth Investment
ASIANPAINT,Mar 2015,Growth Investment
ASIANPAINT,Mar 2015,Growth Investment
ASIANPAINT,Mar 2015,Growth Investment
ASIANPAINT,Mar 2015,Growth Investment
ASIANPAINT,Mar 2016,Growth Investment
ASIANPAINT,Mar 2016,Growth Investment
ASIANPAINT,Mar 2016,Growth Investment
ASIANPAINT,Mar 2016,Growth Investment
ASIANPAINT,Mar 2017,Growth Investment
ASIANPAINT,Mar 2017,Growth Investment
ASIANPAINT,Mar 2017,Growth Investment
ASIANPAINT,Mar 2017,Growth Investment
ASIANPAINT,Mar 2018,Growth Investment
ASIANPAINT,Mar 2018,Growth Investment
ASIANPAINT,Mar 2018,Growth Investment
ASIANPAINT,Mar 2018,Growth Investment
ASIANPAINT,Mar 2019,Growth Investment
ASIANPAINT,Mar 2019,Growth Investment
ASIANPAINT,Mar 2019,Growth Investment
ASIANPAINT,Mar 2019,Growth Investment
ASIANPAINT,Mar 2020,Growth Investment
ASIANPAINT,Mar 2020,Growth Investment
ASIANPAINT,Mar 2020,Growth Investment
ASIANPAINT,Mar 2020,Growth Investment
ASIANPAINT,Mar 2021,Growth Investment
ASIANPAINT,Mar 2021,Growth Investment
ASIANPAINT,Mar 2021,Growth Investment
ASIANPAINT,Mar 2021,Growth Investment
ASIANPAINT,Mar 2022,Growth Investment
ASIANPAINT,Mar 2022,Growth Investment
ASIANPAINT,Mar 2022,Growth Investment
ASIANPAINT,Mar 2022,Growth Investment
ASIANPAINT,Mar 2023,Growth Investment
ASIANPAINT,Mar 2023,Growth Investment
ASIANPAINT,Mar 2023,Growth Investment
ASIANPAINT,Mar 2023,Growth Investment
ASIANPAINT,Mar 2024,Growth Investment
ASIANPAINT,Mar 2024,Growth Investment
ASIANPAINT,Mar 2024,Growth Investment
ASIANPAINT,Mar 2024,Growth Investment
AGTL,Mar 2018,Growth Investment
AGTL,Mar 2019,Stable
AGTL,Mar 2020,Growth Investment
AGTL,Mar 2021,Growth Investment
AGTL,Mar 2022,Growth Investment
AGTL,Mar 2023,Growth Investment
AGTL,Mar 2024,Growth Investment
AXISBANK,Mar 2013,Growth Investment
AXISBANK,Mar 2014,Growth Investment
AXISBANK,Mar 2015,Financial Stress
AXISBANK,Mar 2016,Financial Stress
AXISBANK,Mar 2017,Growth Investment
AXISBANK,Mar 2018,Financial Stress
AXISBANK,Mar 2019,Growth Investment
AXISBANK,Mar 2020,Growth Investment
AXISBANK,Mar 2021,Growth Investment
AXISBANK,Mar 2022,Growth Investment
AXISBANK,Mar 2023,Growth Investment
AXISBANK,Mar 2024,Financial Stress
BAJAJ-AUTO,Mar 2013,Growth Investment
BAJAJ-AUTO,Mar 2014,Growth Investment
BAJAJ-AUTO,Mar 2015,Growth Investment
BAJAJ-AUTO,Mar 2016,Growth Investment
BAJAJ-AUTO,Mar 2017,Growth Investment
BAJAJ-AUTO,Mar 2018,Growth Investment
BAJAJ-AUTO,Mar 2019,Growth Investment
BAJAJ-AUTO,Mar 2020,Stable
BAJAJ-AUTO,Mar 2021,Growth Investment
BAJAJ-AUTO,Mar 2022,Stable
BAJAJ-AUTO,Mar 2023,Stable
BAJAJ-AUTO,Mar 2024,Growth Investment
BAJAJ-AUTO,Mar 2013,Growth Investment
BAJAJ-AUTO,Mar 2014,Growth Investment
BAJAJ-AUTO,Mar 2015,Growth Investment
BAJAJ-AUTO,Mar 2016,Growth Investment
BAJAJ-AUTO,Mar 2017,Growth Investment
