id,company_id,year,market_cap_crore,enterprise_value_crore,pe_ratio,pb_ratio,ev_ebitda,dividend_yield_pct,free_cash_flow,fcf_yield_pct,broad_sector,sector_median_pe,pe_difference_pct,valuation_flag,cluster_id,cluster_name
1,ABB,2019,844312.98,814410.48,19.29,14.26,22.84,0.84,242.0,0.02866235693782654,Industrials,49.83,-61.28838049367851,Discount,4,Turnaround
1,ABB,2019,844312.98,814410.48,19.29,14.26,22.84,0.84,242.0,0.02866235693782654,Industrials,49.83,-61.28838049367851,Discount,4,Turnaround
1,ABB,2019,844312.98,814410.48,19.29,14.26,22.84,0.84,242.0,0.02866235693782654,Industrials,49.83,-61.28838049367851,Discount,2,Dividend Leaders
1,ABB,2019,844312.98,814410.48,19.29,14.26,22.84,0.84,242.0,0.02866235693782654,Industrials,49.83,-61.28838049367851,Discount,2,Dividend Leaders
1,ABB,2019,844312.98,814410.48,19.29,14.26,22.84,0.84,242.0,0.02866235693782654,Industrials,49.83,-61.28838049367851,Discount,0,High Quality
1,ABB,2019,844312.98,814410.48,19.29,14.26,22.84,0.84,242.0,0.02866235693782654,Industrials,49.83,-61.28838049367851,Discount,0,High Quality
1,ABB,2019,844312.98,814410.48,19.29,14.26,22.84,0.84,242.0,0.02866235693782654,Industrials,49.83,-61.28838049367851,Discount,1,Value Stocks
1,ABB,2019,844312.98,814410.48,19.29,14.26,22.84,0.84,242.0,0.02866235693782654,Industrials,49.83,-61.28838049367851,Discount,1,Value Stocks
1,ABB,2019,844312.98,814410.48,19.29,14.26,22.84,0.84,242.0,0.02866235693782654,Industrials,49.83,-61.28838049367851,Discount,0,High Quality
1,ABB,2019,844312.98,814410.48,19.29,14.26,22.84,0.84,242.0,0.02866235693782654,Industrials,49.83,-61.28838049367851,Discount,0,High Quality
1,ABB,2019,844312.98,814410.48,19.29,14.26,22.84,0.84,242.0,0.02866235693782654,Industrials,49.83,-61.28838049367851,Discount,0,High Quality
1,ABB,2019,844312.98,814410.48,19.29,14.26,22.84,0.84,242.0,0.02866235693782654,Industrials,49.83,-61.28838049367851,Discount,0,High Quality
1,ABB,2019,844312.98,814410.48,19.29,14.26,22.84,0.84,-459.0,-0.05436372658868752,Industrials,49.83,-61.28838049367851,Discount,4,Turnaround
1,ABB,2019,844312.98,814410.48,19.29,14.26,22.84,0.84,-459.0,-0.05436372658868752,Industrials,49.83,-61.28838049367851,Discount,4,Turnaround
1,ABB,2019,844312.98,814410.48,19.29,14.26,22.84,0.84,-459.0,-0.05436372658868752,Industrials,49.83,-61.28838049367851,Discount,2,Dividend Leaders
1,ABB,2019,844312.98,814410.48,19.29,14.26,22.84,0.84,-459.0,-0.05436372658868752,Industrials,49.83,-61.28838049367851,Discount,2,Dividend Leaders
1,ABB,2019,844312.98,814410.48,19.29,14.26,22.84,0.84,-459.0,-0.05436372658868752,Industrials,49.83,-61.28838049367851,Discount,0,High Quality
1,ABB,2019,844312.98,814410.48,19.29,14.26,22.84,0.84,-459.0,-0.05436372658868752,Industrials,49.83,-61.28838049367851,Discount,0,High Quality
1,ABB,2019,844312.98,814410.48,19.29,14.26,22.84,0.84,-459.0,-0.05436372658868752,Industrials,49.83,-61.28838049367851,Discount,1,Value Stocks
1,ABB,2019,844312.98,814410.48,19.29,14.26,22.84,0.84,-459.0,-0.05436372658868752,Industrials,49.83,-61.28838049367851,Discount,1,Value Stocks
1,ABB,2019,844312.98,814410.48,19.29,14.26,22.84,0.84,-459.0,-0.05436372658868752,Industrials,49.83,-61.28838049367851,Discount,0,High Quality
1,ABB,2019,844312.98,814410.48,19.29,14.26,22.84,0.84,-459.0,-0.05436372658868752,Industrials,49.83,-61.28838049367851,Discount,0,High Quality
1,ABB,2019,844312.98,814410.48,19.29,14.26,22.84,0.84,-459.0,-0.05436372658868752,Industrials,49.83,-61.28838049367851,Discount,0,High Quality
1,ABB,2019,844312.98,814410.48,19.29,14.26,22.84,0.84,-459.0,-0.05436372658868752,Industrials,49.83,-61.28838049367851,Discount,0,High Quality
2,ABB,2020,923674.33,1120679.72,67.54,13.03,24.93,3.9,225.0,0.02435923492644859,Industrials,49.83,35.54083885209715,Caution,4,Turnaround
2,ABB,2020,923674.33,1120679.72,67.54,13.03,24.93,3.9,225.0,0.02435923492644859,Industrials,49.83,35.54083885209715,Caution,4,Turnaround
