company_name,roce_percentage,roe
Abbott India Ltd,46.0,
Adani Energy Solutions Ltd,9.0,
Adani Enterprises Ltd,11.6,
Adani Green Energy Ltd,96.5,
"Adani Ports & Special Economic Zone Ltd
",12.9,
Adani Power Ltd,32.2,
Ambuja Cements Ltd,12.8,
"Apollo Hospitals
Chain of Indian private hospitals",17.2,
"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",41.75,
Adani Total Gas Ltd,21.2,
Axis Bank Ltd,7.06,
Bajaj Auto Ltd,33.5,
Bajaj Finserv Ltd,21.14,
Bajaj Holdings & Investment Ltd,13.1,
Bajaj Finance Ltd,11.9,
Bank of Baroda,6.33,
Bharat Electronics Ltd,34.6,
Bharti Airtel Ltd,13.1,
"Bharat Heavy Electricals Limited
",3.28,
Bosch Ltd,20.6,
Bharat Petroleum Corporation Ltd,32.1,
Britannia Industries Ltd,48.9,
Canara Bank,6.63,
Cholamandalam Investment & Finance Company Ltd,10.4,
"Cipla Ltd
",22.8,
Coal India Ltd,63.6,
Dabur India Ltd,22.3,
Divis Laboratories Ltd,16.5,
DLF Ltd,5.74,
Avenue Supermarts Ltd,19.4,
Dr Reddys Laboratories Ltd,26.5,
Eicher Motors Ltd,31.1,
GAIL (India) Ltd,14.7,
Godrej Consumer Products Ltd,26.49,
Grasim Industries Ltd,9.3,
Hindustan Aeronautics Ltd,38.9,
Havells India Ltd,24.4,
HCL Technologies Ltd,29.6,
HDFC Bank Ltd,7.67,10 Years:     17%
HDFC Bank Ltd,7.67,3 Years:       17%
HDFC Bank Ltd,7.67,5 Years:       17%
HDFC Bank Ltd,7.67,Last Year:    17%
HDFC Life Insurance Company Ltd,6.61,
"Hero MotoCorp Ltd
",29.1,
Hindalco Industries Ltd,11.3,
"Hindustan Unilever Ltd
",27.2,
ICICI Bank Ltd,7.6,
ICICI Lombard General Insurance Company Ltd,22.5,
ICICI Prudential Life Insurance Company Ltd,8.75,
Interglobe Aviation Ltd,24.5,
IndusInd Bank Ltd,7.93,
Infosys Ltd,40.0,10 Years:      27%
Infosys Ltd,40.0,3 Years:        31%
Infosys Ltd,40.0,5 Years:        29%
Infosys Ltd,40.0,Last Year:     32%
"Indian Oil Corporation
",21.31,
Indian Railway Catering & Tourism Corporation Ltd,53.8,
Indian Railway Finance Corporation Ltd,5.73,
"ITC Ltd
",34.76,
Jindal Steel & Power Ltd,13.2,
Jio Financial Services Ltd,2.16,
JSW Energy Ltd,8.59,
JSW Steel Ltd,13.36,
"Kotak Mahindra Bank Ltd
",7.86,
Life Insurance Corporation of India,63.79,
Macrotech Developers Ltd,11.1,
Larsen & Toubro Ltd,17.18,
LTIMindtree Ltd,34.1,
"Mahindra & Mahindra Ltd
",26.98,
Maruti Suzuki India Ltd,23.67,
Samvardhana Motherson International Ltd,13.7,
Info Edge (India) Ltd,3.65,
Nestle India Ltd,185.43,
"NHPC Ltd
",7.67,
NTPC Ltd,10.58,
Oil & Natural Gas Corpn Ltd,19.71,
Power Finance Corporation Ltd,9.96,
Pidilite Industries Ltd,29.7,
Punjab National Bank,1.63,
Power Grid Corporation of India Ltd,13.2,
REC Ltd,10.0,
"Reliance Industries Ltd
",9.61,
SBI Life Insurance Company Ltd,13.2,10 Years:      16%
SBI Life Insurance Company Ltd,13.2,3 Years:         13%
SBI Life Insurance Company Ltd,13.2,5 Years          14%
SBI Life Insurance Company Ltd,13.2,Last Year:      12%
State Bank of India,6.16,
Shree Cement Ltd,14.8,
"Shriram Finance Ltd
",11.3,
Siemens Ltd,25.6,
Sun Pharmaceuticals Industries Ltd,17.3,
Tata Consumer Products Ltd,10.6,
Tata Motors Ltd,20.1,
"Tata Power Company Ltd
",11.1,
"Tata Steel Ltd
",7.02,
Tata Consultancy Services Ltd,64.3,10 Years:       40%
Tata Consultancy Services Ltd,64.3,3 Years:          47%
Tata Consultancy Services Ltd,64.3,5 Years:          44%
Tata Consultancy Services Ltd,64.3,Last Year:       52%
Tech Mahindra Ltd,11.9,
"Titan Company Ltd
",22.7,
Torrent Pharmaceuticals Ltd,23.2,
Trent Ltd,23.8,
TVS Motor Company Ltd,,
