company_id,revenue_cagr_3yr,revenue_flag_3yr,profit_cagr_3yr,profit_flag_3yr,eps_cagr_3yr,eps_flag_3yr,revenue_cagr_5yr,revenue_flag_5yr,profit_cagr_5yr,profit_flag_5yr,eps_cagr_5yr,eps_flag_5yr,revenue_cagr_10yr,revenue_flag_10yr,profit_cagr_10yr,profit_flag_10yr,eps_cagr_10yr,eps_flag_10yr
ABB,10.71,NORMAL,20.23,NORMAL,20.24,NORMAL,9.72,NORMAL,21.69,NORMAL,21.66,NORMAL,9.9,NORMAL,19.75,NORMAL,19.77,NORMAL
ADANIENSOL,18.72,NORMAL,-2.49,NORMAL,-3.13,NORMAL,17.85,NORMAL,16.43,NORMAL,14.87,NORMAL,,ZERO_BASE,,ZERO_BASE,,ZERO_BASE
ADANIENT,34.6,NORMAL,47.18,NORMAL,51.83,NORMAL,19.02,NORMAL,45.81,NORMAL,31.95,NORMAL,5.78,NORMAL,2.34,NORMAL,3.42,NORMAL
ADANIGREEN,43.44,NORMAL,90.59,NORMAL,91.29,NORMAL,34.98,NORMAL,,TURNAROUND,,TURNAROUND,,INSUFFICIENT_DATA,,INSUFFICIENT_DATA,,INSUFFICIENT_DATA
ADANIPORTS,8.6,NORMAL,14.55,NORMAL,14.98,NORMAL,9.31,NORMAL,10.35,NORMAL,10.56,NORMAL,9.35,NORMAL,7.2,NORMAL,7.18,NORMAL
ADANIPOWER,24.29,NORMAL,154.07,NORMAL,162.07,NORMAL,16.09,NORMAL,,TURNAROUND,,TURNAROUND,12.63,NORMAL,,TURNAROUND,,TURNAROUND
AMBUJACEM,10.59,NORMAL,15.1,NORMAL,10.06,NORMAL,4.95,NORMAL,9.77,NORMAL,7.78,NORMAL,13.73,NORMAL,14.0,NORMAL,7.18,NORMAL
APOLLOHOSP,21.75,NORMAL,89.68,NORMAL,84.69,NORMAL,14.66,NORMAL,36.13,NORMAL,29.95,NORMAL,15.9,NORMAL,11.49,NORMAL,10.6,NORMAL
ASIANPAINT,17.8,NORMAL,20.12,NORMAL,19.98,NORMAL,13.03,NORMAL,20.28,NORMAL,20.97,NORMAL,11.25,NORMAL,15.97,NORMAL,15.93,NORMAL
ATGL,38.18,NORMAL,13.0,NORMAL,14.47,NORMAL,21.09,NORMAL,23.88,NORMAL,24.57,NORMAL,,INSUFFICIENT_DATA,,INSUFFICIENT_DATA,,INSUFFICIENT_DATA
AXISBANK,19.97,NORMAL,55.69,NORMAL,54.41,NORMAL,14.74,NORMAL,39.67,NORMAL,35.1,NORMAL,13.57,NORMAL,14.86,NORMAL,12.03,NORMAL
BAJAJ-AUTO,17.38,NORMAL,16.64,NORMAL,18.0,NORMAL,8.13,NORMAL,9.36,NORMAL,10.18,NORMAL,8.34,NORMAL,8.59,NORMAL,8.96,NORMAL
BAJAJFINSV,22.13,NORMAL,28.4,NORMAL,22.12,NORMAL,20.97,NORMAL,23.75,NORMAL,20.59,NORMAL,33.75,NORMAL,21.68,NORMAL,17.69,NORMAL
BAJAJHLDNG,55.01,NORMAL,26.32,NORMAL,25.8,NORMAL,31.61,NORMAL,19.3,NORMAL,18.97,NORMAL,14.94,NORMAL,13.99,NORMAL,13.82,NORMAL
BAJFINANCE,27.26,NORMAL,48.42,NORMAL,47.23,NORMAL,24.35,NORMAL,29.32,NORMAL,27.56,NORMAL,,INSUFFICIENT_DATA,,INSUFFICIENT_DATA,,INSUFFICIENT_DATA
