id_x,company_id,year,sales,expenses,operating_profit,opm_percentage,other_income,interest,depreciation,profit_before_tax,tax_percentage,net_profit,eps,dividend_payout,id_y,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_asset,total_assets,net_profit_margin,operating_profit_margin,roe_calculated,roa
61,ABB,Dec 2012,1653,1451,202.0,12.0,33,0,19,215,33.0,145,68.0,25.0,136,21.0,626,0,260,907,109,1,0,798,907,8.771929824561402,12.220205686630369,22.411128284389488,15.986769570011026
62,ABB,Mar 2014,2276,2009,267.0,12.0,49,0,22,295,33.0,198,93.0,25.0,137,21.0,767,0,351,1139,98,1,0,1040,1139,8.699472759226714,11.731107205623902,25.12690355329949,17.383669885864794
63,ABB,Mar 2015,2289,1977,312.0,14.0,48,0,15,344,34.0,229,108.0,29.0,138,21.0,916,0,436,1374,96,4,0,1274,1374,10.004368719965049,13.630406290956751,24.439701173959445,16.666666666666664
64,ABB,Mar 2016,2614,2250,365.0,14.0,50,3,14,398,36.0,255,120.0,29.0,139,21.0,1174,0,421,1616,108,3,0,1505,1616,9.755164498852334,13.963274674827849,21.338912133891213,15.77970297029703
65,ABB,Mar 2017,2903,2505,398.0,14.0,57,2,16,436,37.0,277,130.0,31.0,140,21.0,1366,0,679,2066,110,6,0,1950,2066,9.541853255253187,13.709955218739237,19.971160778658977,13.407550822846078
66,ABB,Mar 2018,3298,2774,525.0,16.0,117,4,16,621,35.0,401,189.0,29.0,141,21.0,1672,0,723,2416,81,2,0,2333,2416,12.15888417222559,15.918738629472406,23.685764914353218,16.5976821192053
67,ABB,Mar 2019,3679,3074,605.0,16.0,113,2,17,699,36.0,450,212.0,31.0,142,21.0,1987,0,932,2941,105,1,0,2835,2941,12.231584669747214,16.444686055993476,22.410358565737052,15.300918055083304
68,ABB,Mar 2020,4093,3336,757.0,18.0,114,9,60,803,26.0,593,279.0,90.0,143,21.0,2410,175,940,3547,270,2,0,3275,3547,14.488150500855118,18.49499144881505,24.39325380501851,16.718353538201296
69,ABB,Mar 2021,4310,3388,922.0,21.0,81,18,58,926,25.0,691,325.0,85.0,144,21.0,2581,153,1086,3840,251,1,0,3589,3840,16.03248259860789,21.392111368909514,26.5564950038432,17.994791666666668
70,ABB,Mar 2022,4913,3832,1082.0,22.0,83,19,66,1080,26.0,799,376.0,73.0,145,21.0,2799,152,1253,4224,271,1,0,3952,4224,16.26297577854671,22.023203745165887,28.333333333333332,18.915719696969695
71,ABB,Mar 2023,5349,4143,1206.0,23.0,154,16,70,1274,25.0,949,447.0,73.0,146,21.0,3167,113,1254,4556,237,4,0,4315,4556,17.74163395027108,22.546270330902974,29.767879548306148,20.82967515364355
72,ABB,Mar 2024,5849,4396,1453.0,25.0,248,12,71,1618,26.0,1201,565.0,73.0,147,21.0,3678,83,1411,5193,225,10,0,4958,5193,20.533424517011454,24.84185330825782,32.46823465801568,23.127286732139417
86,ADANIENSOL,Mar 2014,0,0,0.0,,0,0,0,0,0.0,0,0.0,,149,0.1,0,0,0,0,0,0,0,0,0,,,0.0,
87,ADANIENSOL,Mar 2015,131,29,101.0,78.0,3,73,37,-5,34.0,-7,0.0,0.0,150,1090.0,-7,9701,708,11492,10573,10,0,909,11492,-5.343511450381679,77.09923664122137,-0.6463527239150507,-0.06091193873999304
88,ADANIENSOL,Mar 2016,2194,267,1927.0,88.0,70,957,560,480,23.0,368,3.0,0.0,151,1100.0,1572,8585,489,11746,10060,258,20,1407,11746,16.773017319963536,87.83044667274385,13.77245508982036,3.1329814404903797
89,ADANIENSOL,Mar 2017,2876,893,1983.0,69.0,22,904,569,532,22.0,416,4.0,0.0,152,1100.0,1847,8975,890,12811,9853,1343,105,1510,12811,14.464534075104313,68.94993045897078,14.116050220563285,3.2472094293966123
90,ADANIENSOL,Mar 2018,3944,1118,2826.0,72.0,111,886,579,1472,22.0,1143,10.0,0.0,153,1100.0,4957,10428,781,17265,9291,2353,0,5621,17265,28.98073022312373,71.65314401622717,18.87072808320951,6.620330147697655
91,ADANIENSOL,Mar 2019,7305,4528,2778.0,38.0,336,1391,882,840,33.0,559,5.0,0.0,154,1100.0,6943,20137,4379,32558,24412,694,336,7117,32558,7.652292950034223,38.02874743326489,6.950142981474575,1.716935929725413
