id_x,company_id,year,sales,expenses,operating_profit,opm_percentage,other_income,interest,depreciation,profit_before_tax,tax_percentage,net_profit,eps,dividend_payout,id_y,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_asset,total_assets,debt_to_equity,interest_coverage,asset_turnover,net_debt,high_leverage_flag,icr_label
61,ABB,Dec 2012,1653,1451,202.0,12.0,33,0,19,215,33.0,145,68.0,25.0,136,21.0,626,0,260,907,109,1,0,798,907,0.0,,1.822491730981257,0,False,Debt Free
62,ABB,Mar 2014,2276,2009,267.0,12.0,49,0,22,295,33.0,198,93.0,25.0,137,21.0,767,0,351,1139,98,1,0,1040,1139,0.0,,1.9982440737489024,0,False,Debt Free
63,ABB,Mar 2015,2289,1977,312.0,14.0,48,0,15,344,34.0,229,108.0,29.0,138,21.0,916,0,436,1374,96,4,0,1274,1374,0.0,,1.665938864628821,0,False,Debt Free
64,ABB,Mar 2016,2614,2250,365.0,14.0,50,3,14,398,36.0,255,120.0,29.0,139,21.0,1174,0,421,1616,108,3,0,1505,1616,0.0,121.66666666666667,1.6175742574257426,0,False,Debt Free
65,ABB,Mar 2017,2903,2505,398.0,14.0,57,2,16,436,37.0,277,130.0,31.0,140,21.0,1366,0,679,2066,110,6,0,1950,2066,0.0,199.0,1.40513068731849,0,False,Debt Free
66,ABB,Mar 2018,3298,2774,525.0,16.0,117,4,16,621,35.0,401,189.0,29.0,141,21.0,1672,0,723,2416,81,2,0,2333,2416,0.0,131.25,1.365066225165563,0,False,Debt Free
67,ABB,Mar 2019,3679,3074,605.0,16.0,113,2,17,699,36.0,450,212.0,31.0,142,21.0,1987,0,932,2941,105,1,0,2835,2941,0.0,302.5,1.2509350561033663,0,False,Debt Free
68,ABB,Mar 2020,4093,3336,757.0,18.0,114,9,60,803,26.0,593,279.0,90.0,143,21.0,2410,175,940,3547,270,2,0,3275,3547,0.07198683669271905,84.11111111111111,1.153932901043135,175,False,Has Debt
69,ABB,Mar 2021,4310,3388,922.0,21.0,81,18,58,926,25.0,691,325.0,85.0,144,21.0,2581,153,1086,3840,251,1,0,3589,3840,0.058800922367409685,51.22222222222222,1.1223958333333333,153,False,Has Debt
70,ABB,Mar 2022,4913,3832,1082.0,22.0,83,19,66,1080,26.0,799,376.0,73.0,145,21.0,2799,152,1253,4224,271,1,0,3952,4224,0.05390070921985816,56.94736842105263,1.1631155303030303,152,False,Has Debt
71,ABB,Mar 2023,5349,4143,1206.0,23.0,154,16,70,1274,25.0,949,447.0,73.0,146,21.0,3167,113,1254,4556,237,4,0,4315,4556,0.03544542032622334,75.375,1.1740561896400352,113,False,Has Debt
72,ABB,Mar 2024,5849,4396,1453.0,25.0,248,12,71,1618,26.0,1201,565.0,73.0,147,21.0,3678,83,1411,5193,225,10,0,4958,5193,0.022438496891051634,121.08333333333333,1.1263238975544,83,False,Has Debt
86,ADANIENSOL,Mar 2014,0,0,0.0,,0,0,0,0,0.0,0,0.0,,149,0.1,0,0,0,0,0,0,0,0,0,0.0,,,0,False,Debt Free
87,ADANIENSOL,Mar 2015,131,29,101.0,78.0,3,73,37,-5,34.0,-7,0.0,0.0,150,1090.0,-7,9701,708,11492,10573,10,0,909,11492,8.95752539242844,1.3835616438356164,0.011399234249912982,9701,True,Has Debt
88,ADANIENSOL,Mar 2016,2194,267,1927.0,88.0,70,957,560,480,23.0,368,3.0,0.0,151,1100.0,1572,8585,489,11746,10060,258,20,1407,11746,3.2129491017964074,2.013584117032393,0.18678699131619275,8585,False,Has Debt
89,ADANIENSOL,Mar 2017,2876,893,1983.0,69.0,22,904,569,532,22.0,416,4.0,0.0,152,1100.0,1847,8975,890,12811,9853,1343,105,1510,12811,3.045469969460468,2.1935840707964602,0.22449457497463118,8975,False,Has Debt
90,ADANIENSOL,Mar 2018,3944,1118,2826.0,72.0,111,886,579,1472,22.0,1143,10.0,0.0,153,1100.0,4957,10428,781,17265,9291,2353,0,5621,17265,1.7216443784051512,3.1896162528216703,0.22843903851723138,10428,False,Has Debt
91,ADANIENSOL,Mar 2019,7305,4528,2778.0,38.0,336,1391,882,840,33.0,559,5.0,0.0,154,1100.0,6943,20137,4379,32558,24412,694,336,7117,32558,2.50366778565212,1.9971243709561466,0.2243688187235088,20137,False,Has Debt
92,ADANIENSOL,Mar 2020,11416,7158,4258.0,37.0,261,2238,1174,1107,36.0,706,7.0,0.0,155,1100.0,7399,24246,6966,39711,24924,2212,313,12262,39711,2.8528062124955875,1.902591599642538,0.2874770214801944,24246,False,Has Debt
