id,company_id,year,operating_activity,investing_activity,financing_activity,net_cash_flow,cfo_quality_score,cfo_quality_label,capex_intensity_pct,capex_label,distress_flag,borrowings_x,deleveraging_flag,capital_allocation_label,borrowings_y,total_assets,free_cash_flow
199,AXISBANK,Mar 2016,-34495.0,9211.0,22495.0,-2789.0,40,Weak,26.702420640672564,Normal,YES,472150.0,NO,Financial Stress,472150.0,546387.0,-25284.0
201,AXISBANK,Mar 2018,-38390.0,-10007.0,41342.0,-7055.0,40,Weak,26.06668403230008,Normal,YES,611425.0,NO,Financial Stress,611425.0,703703.0,-48397.0
234,BAJAJFINSV,Mar 2015,-10731.0,3709.0,6839.0,-183.0,40,Weak,34.563414406858634,Normal,YES,26312.0,NO,Financial Stress,26312.0,88228.0,-7022.0
237,BAJAJFINSV,Mar 2018,-19580.0,-922.0,19590.0,-911.0,40,Weak,4.708886618998979,Normal,YES,65695.0,NO,Financial Stress,65695.0,161514.0,-20502.0
242,BAJAJFINSV,Mar 2023,-39480.0,-13945.0,51016.0,-2409.0,40,Weak,35.32168186423505,Normal,YES,212265.0,NO,Financial Stress,212265.0,405401.0,-53425.0
248,BAJAJHLDNG,Mar 2017,-923.0,-372.0,-110.0,-1406.0,40,Weak,40.30335861321777,Normal,YES,0.0,NO,Stable,0.0,17889.0,-1295.0
256,BAJFINANCE,Mar 2015,-7064.0,-360.0,6867.0,-557.0,40,Weak,5.096262740656852,Normal,YES,26655.0,NO,Financial Stress,26655.0,32780.0,-7424.0
258,BAJFINANCE,Mar 2017,-10439.0,-3047.0,12513.0,-972.0,40,Weak,29.1886195995785,Normal,YES,49250.0,NO,Financial Stress,49250.0,63731.0,-13486.0
264,BAJFINANCE,Mar 2023,-42112.0,-10394.0,50675.0,-1831.0,40,Weak,24.681800911854104,Normal,YES,216690.0,NO,Financial Stress,216690.0,275226.0,-52506.0
269,BANKBARODA,Mar 2016,-10011.0,-4005.0,-616.0,-14632.0,40,Weak,40.00599340725202,Normal,YES,620536.0,NO,Stable,620536.0,691173.0,-14016.0
271,BANKBARODA,Mar 2018,-59692.0,-414.0,3413.0,-56692.0,40,Weak,0.6935602760838974,Normal,YES,672311.0,NO,Financial Stress,672311.0,747796.0,-60106.0
274,BANKBARODA,Mar 2021,-887.0,-471.0,-986.0,-2344.0,40,Weak,53.10033821871477,High,YES,1067173.0,NO,Stable,1067173.0,1202667.0,-1358.0
276,BANKBARODA,Mar 2023,-21354.0,-1096.0,-5405.0,-27855.0,40,Weak,5.132527863632107,Normal,YES,1342592.0,NO,Stable,1342592.0,1525871.0,-22450.0
277,BANKBARODA,Mar 2024,-6274.0,-1285.0,5476.0,-2084.0,40,Weak,20.481351609818297,Normal,YES,1453761.0,NO,Financial Stress,1453761.0,1654775.0,-7559.0
279,BEL,Mar 2014,-569.0,759.0,-213.0,-23.0,40,Weak,133.3919156414763,High,YES,21.0,NO,Stable,21.0,46.0,190.0
283,BEL,Mar 2018,-687.0,-6.0,-1202.0,-1895.0,40,Weak,0.8733624454148471,Normal,YES,48.0,NO,Stable,48.0,121.0,-693.0
308,BHEL,Mar 2019,-3860.0,1919.0,-32.0,-1973.0,40,Weak,49.71502590673575,Normal,YES,2598.0,NO,Stable,2598.0,64490.0,-1941.0
355,CANBK,Mar 2018,-11120.0,-487.0,2865.0,-8743.0,40,Weak,4.379496402877698,Normal,YES,563756.0,NO,Financial Stress,563756.0,631435.0,-11607.0
360,CANBK,Mar 2023,-39978.0,-1156.0,445.0,-40689.0,40,Weak,2.8915903747060887,Normal,YES,1237160.0,NO,Financial Stress,1237160.0,1381030.0,-41134.0
364,CHOLAFIN,Mar 2015,-2264.0,-40.0,1819.0,-485.0,40,Weak,1.76678445229682,Normal,YES,19950.0,NO,Financial Stress,19950.0,23868.0,-2304.0
370,CHOLAFIN,Mar 2021,-8848.0,-1746.0,8707.0,-1888.0,40,Weak,19.733273056057865,Normal,YES,63730.0,NO,Financial Stress,63730.0,74644.0,-10594.0
372,CHOLAFIN,Mar 2023,-27105.0,-2148.0,27466.0,-1787.0,40,Weak,7.924737133370227,Normal,YES,97358.0,NO,Financial Stress,97358.0,113627.0,-29253.0
373,CHOLAFIN,Mar 2024,-35683.0,-2855.0,38471.0,-66.0,40,Weak,8.001008883782193,Normal,YES,134475.0,NO,Financial Stress,134475.0,156686.0,-38538.0
507,HAL,Mar 2018,-734.0,594.0,-2540.0,-2680.0,40,Weak,80.92643051771117,High,YES,3.0,NO,Stable,3.0,166.0,-140.0
508,HAL,Mar 2019,-7694.0,5292.0,2321.0,-80.0,40,Weak,68.78086820899402,High,YES,8.0,NO,Financial Stress,8.0,175.0,-2402.0
540,HDFCBANK,Mar 2015,-21281.0,-800.0,18694.0,-3387.0,40,Weak,3.759221841078897,Normal,YES,509762.0,NO,Financial Stress,509762.0,607097.0,-22081.0
544,HDFCBANK,Mar 2019,-62872.0,-1503.0,23131.0,-41244.0,40,Weak,2.3905713195062983,Normal,YES,1080235.0,NO,Financial Stress,1080235.0,1292806.0,-64375.0
599,ICICIBANK,Mar 2015,-12273.0,-13175.0,24827.0,-621.0,40,Weak,107.34946630815611,High,YES,597207.0,NO,Financial Stress,597207.0,826079.0,-25448.0
607,ICICIBANK,Mar 2023,-3771.0,-67689.0,24791.0,-46669.0,40,Weak,1794.9880668257756,High,YES,1399894.0,NO,Financial Stress,1399894.0,1958490.0,-71460.0
611,ICICIGI,Mar 2015,-98.0,171.0,-93.0,-20.0,40,Weak,174.48979591836735,High,YES,0.0,NO,Stable,0.0,14646.0,73.0
621,ICICIPRULI,Mar 2013,-2641.0,1564.0,-514.0,-1591.0,40,Weak,59.219992427110945,High,YES,0.0,NO,Stable,0.0,75220.0,-1077.0
641,INDIGO,Mar 2021,-1620.0,3228.0,-1775.0,-168.0,40,Weak,199.25925925925927,High,YES,9.0,NO,Stable,9.0,811.0,1608.0
646,INDUSINDBK,Mar 2014,-4106.0,-174.0,4200.0,-79.0,40,Weak,4.237700925474915,Normal,YES,75264.0,NO,Financial Stress,75264.0,87026.0,-4280.0
648,INDUSINDBK,Mar 2016,-2927.0,-258.0,2517.0,-667.0,40,Weak,8.814485821660403,Normal,YES,117996.0,NO,Financial Stress,117996.0,142897.0,-3185.0
650,INDUSINDBK,Mar 2018,-20700.0,-217.0,15505.0,-5412.0,40,Weak,1.0483091787439613,Normal,YES,189928.0,NO,Financial Stress,189928.0,221626.0,-20917.0
655,INDUSINDBK,Mar 2023,-12438.0,-441.0,1115.0,-11763.0,40,Weak,3.545586107091172,Normal,YES,385449.0,NO,Financial Stress,385449.0,457804.0,-12879.0
656,INDUSINDBK,Mar 2024,-16843.0,-625.0,-2242.0,-19710.0,40,Weak,3.7107403669180075,Normal,YES,432404.0,NO,Stable,432404.0,514935.0,-17468.0
692,IRFC,Mar 2017,-19455.0,2.0,18250.0,-1204.0,40,Weak,0.010280133641737342,Normal,YES,106395.0,NO,Financial Stress,106395.0,129650.0,-19453.0
695,IRFC,Mar 2020,-62701.0,1.0,62697.0,-2.0,40,Weak,0.0015948708952010335,Normal,YES,234377.0,NO,Financial Stress,234377.0,275504.0,-62700.0
697,IRFC,Mar 2022,-64412.0,-5.0,64266.0,-151.0,40,Weak,0.007762528721356269,Normal,YES,388440.0,NO,Financial Stress,388440.0,449980.0,-64417.0
755,KOTAKBANK,Mar 2018,-10392.0,-5475.0,14679.0,-1188.0,40,Weak,52.684757505773675,High,YES,249840.0,NO,Financial Stress,249840.0,337720.0,-15867.0
760,KOTAKBANK,Mar 2023,-1242.0,-10381.0,1883.0,-9740.0,40,Weak,835.8293075684379,High,YES,418807.0,NO,Financial Stress,418807.0,620430.0,-11623.0
789,LT,Mar 2016,-3240.0,-4627.0,7253.0,-613.0,40,Weak,142.80864197530866,High,YES,55.0,NO,Financial Stress,55.0,3137.0,-7867.0
792,LT,Mar 2019,-4756.0,-11023.0,15440.0,-338.0,40,Weak,231.7703952901598,High,YES,0.0,NO,Financial Stress,0.0,6664.0,-15779.0
817,M&M,Mar 2020,-1457.0,-6870.0,6933.0,-1394.0,40,Weak,471.51681537405625,High,YES,82092.0,NO,Financial Stress,82092.0,165716.0,-8327.0
907,PFC,Mar 2014,-22473.0,9.0,17671.0,-4793.0,40,Weak,0.040048057669203045,Normal,YES,159215.0,NO,Financial Stress,159215.0,194320.0,-22464.0
909,PFC,Mar 2016,-13298.0,-1973.0,10383.0,-4888.0,40,Weak,14.83681756655136,Normal,YES,200660.0,NO,Financial Stress,200660.0,247220.0,-15271.0
911,PFC,Mar 2018,-57148.0,1409.0,52018.0,-3720.0,40,Weak,2.4655281024707776,Normal,YES,441151.0,NO,Financial Stress,441151.0,522531.0,-55739.0
912,PFC,Mar 2019,-80252.0,-13463.0,93616.0,-98.0,40,Weak,16.77590589642626,Normal,YES,539488.0,NO,Financial Stress,539488.0,628869.0,-93715.0
916,PFC,Mar 2023,-74717.0,-1694.0,75537.0,-874.0,40,Weak,2.2672216496915025,Normal,YES,751158.0,NO,Financial Stress,751158.0,896112.0,-76411.0
930,PNB,Mar 2013,-692.0,-600.0,-694.0,-1987.0,40,Weak,86.70520231213872,High,YES,6695.0,NO,Stable,6695.0,7655.0,-1292.0
930,PNB,Mar 2013,-692.0,-600.0,-694.0,-1987.0,40,Weak,86.70520231213872,High,YES,6695.0,NO,Stable,6695.0,7655.0,-1292.0
930,PNB,Mar 2013,-692.0,-600.0,-694.0,-1987.0,40,Weak,86.70520231213872,High,YES,6695.0,NO,Stable,6695.0,7655.0,-1292.0
930,PNB,Mar 2013,-692.0,-600.0,-694.0,-1987.0,40,Weak,86.70520231213872,High,YES,6695.0,NO,Stable,6695.0,7655.0,-1292.0
930,PNB,Mar 2013,-692.0,-600.0,-694.0,-1987.0,40,Weak,86.70520231213872,High,YES,6695.0,NO,Stable,6695.0,7655.0,-1292.0
930,PNB,Mar 2013,-692.0,-600.0,-694.0,-1987.0,40,Weak,86.70520231213872,High,YES,6695.0,NO,Stable,6695.0,7655.0,-1292.0
930,PNB,Mar 2013,-692.0,-600.0,-694.0,-1987.0,40,Weak,86.70520231213872,High,YES,6695.0,NO,Stable,6695.0,7655.0,-1292.0
930,PNB,Mar 2013,-692.0,-600.0,-694.0,-1987.0,40,Weak,86.70520231213872,High,YES,6695.0,NO,Stable,6695.0,7655.0,-1292.0
930,PNB,Mar 2013,-692.0,-600.0,-694.0,-1987.0,40,Weak,86.70520231213872,High,YES,6695.0,NO,Stable,6695.0,7655.0,-1292.0
930,PNB,Mar 2013,-692.0,-600.0,-694.0,-1987.0,40,Weak,86.70520231213872,High,YES,6695.0,NO,Stable,6695.0,7655.0,-1292.0
930,PNB,Mar 2013,-692.0,-600.0,-694.0,-1987.0,40,Weak,86.70520231213872,High,YES,6695.0,NO,Stable,6695.0,7655.0,-1292.0
930,PNB,Mar 2013,-692.0,-600.0,-694.0,-1987.0,40,Weak,86.70520231213872,High,YES,6695.0,NO,Stable,6695.0,7655.0,-1292.0
