id,company_id,year,market_cap_crore,enterprise_value_crore,pe_ratio,pb_ratio,ev_ebitda,dividend_yield_pct,free_cash_flow,fcf_yield_pct,broad_sector,sector_median_pe,pe_difference_pct,valuation_flag
78,BAJAJFINSV,2024,1905112.17,1807796.2,15.07,6.08,39.72,2.56,-79634.0,-4.180016339930263,Financials,43.585,-65.42388436388666,Discount
90,BAJFINANCE,2024,2473271.58,2632574.41,69.2,4.11,15.96,0.27,-79931.0,-3.231792280571145,Financials,43.585,58.77021911207984,Caution
180,DMART,2024,3053088.97,3624591.94,72.53,11.71,36.84,1.94,278.0,0.00910553222430331,Consumer Discretionary,44.145,64.29946766338205,Caution
229,HDFCBANK,2019,578281.57,743657.34,63.58,0.79,38.51,3.49,-64375.0,-11.13212029219607,Financials,43.585,45.87587472754387,Caution
261,ICICIBANK,2021,851486.14,832663.82,12.77,9.84,34.73,4.29,74384.0,8.735785176726422,Financials,43.585,-70.70092921876793,Discount
263,ICICIBANK,2023,1184576.28,1275805.13,78.87,1.36,26.95,0.92,-71460.0,-6.032536798727727,Financials,43.585,80.95675117586326,Caution
309,IRFC,2021,1481705.69,1855967.59,74.92,11.42,32.61,1.97,-89907.0,-6.067804193962433,Financials,43.585,71.89400022943674,Caution
310,IRFC,2022,1637618.34,2084678.6,35.23,1.11,31.7,2.58,-64417.0,-3.933578320819245,Financials,43.585,-19.16943902718826,Fair
351,LICI,2021,183625.08,214767.85,38.3,8.3,6.66,3.88,229049.0,124.7373180177784,Financials,43.585,-12.12573132958588,Fair
375,M&M,2021,3046586.67,3342939.51,8.87,14.35,22.42,3.76,-1777.0,-0.05832757090084689,Consumer Discretionary,44.145,-79.9071242496319,Discount
376,M&M,2022,3425061.3,3221889.8,52.32,14.96,6.22,3.79,5996.0,0.1750625601941781,Consumer Discretionary,44.145,18.51851851851853,Fair
377,M&M,2023,3314570.19,3505312.06,34.84,13.53,22.66,2.01,-15940.0,-0.4809069980804963,Consumer Discretionary,44.145,-21.07826480915164,Discount
378,M&M,2024,4173085.48,3837414.39,14.22,0.81,29.08,2.37,-11245.0,-0.2694648852484086,Consumer Discretionary,44.145,-67.78797145769623,Discount
421,PFC,2019,1215368.18,1097296.38,37.83,3.81,28.92,0.88,-93715.0,-7.710832120024732,Financials,43.585,-13.20408397384422,Fair
425,PFC,2023,1625821.23,1714311.64,32.45,5.31,36.33,0.09,-76411.0,-4.699840215519882,Financials,43.585,-25.54778019960995,Discount
426,PFC,2024,2011885.81,2014246.29,35.6,6.59,15.67,0.42,-101229.0,-5.031547988302576,Financials,43.585,-18.32052311575083,Fair
450,RECLTD,2024,291917.42,315256.49,31.49,4.59,23.95,2.18,-59554.0,-20.40097504287343,Financials,43.585,-27.75037283469084,Discount
453,RELIANCE,2021,477545.63,530232.91,14.91,14.48,36.28,2.92,-115427.0,-24.17088394254597,Energy,41.495,-64.06795999518013,Discount
465,SBIN,2021,1705155.98,1837361.16,43.56,13.01,27.95,0.45,86249.0,5.058129638087419,Financials,43.585,-0.0573591832052279,Fair
467,SBIN,2023,2664457.97,3336018.79,72.12,7.09,35.08,0.46,-86980.0,-3.264453820602019,Financials,43.585,65.46977171045086,Caution
474,SHREECEM,2024,3154358.33,2911084.5,25.87,1.21,26.58,3.2,1929.0,0.06115348347250073,Materials,39.885,-35.13852325435627,Discount
527,TECHM,2023,3048920.3,3745542.3,41.79,3.57,36.87,3.25,5346.0,0.1753407591533304,Information Technology,49.555,-15.66945817778226,Fair
528,TECHM,2024,3021095.64,3131058.36,57.4,7.43,7.85,0.64,5058.0,0.1674227036387368,Information Technology,49.555,15.83089496519019,Fair
