id,company_id,year,operating_activity,investing_activity,financing_activity,net_cash_flow,cfo_quality_score,cfo_quality_label,capex_intensity_pct,capex_label,distress_flag,borrowings_x,deleveraging_flag,capital_allocation_label,borrowings_y,total_assets,free_cash_flow,previous_label
73,ABB,Mar 2014,0.0,0.0,0.0,0.0,40,Weak,,Normal,NO,0.0,NO,Stable,0.0,1139.0,0.0,Growth Investment
63,ABB,Mar 2015,215.0,-187.0,-58.0,-30.0,100,Strong,86.9767441860465,High,NO,0.0,NO,Growth Investment,0.0,1374.0,28.0,Stable
74,ABB,Mar 2015,-35.0,-1864.0,1902.0,3.0,40,Weak,5325.714285714286,High,NO,0.0,NO,Financial Stress,0.0,1374.0,-1899.0,Growth Investment
64,ABB,Mar 2016,249.0,-77.0,-80.0,91.0,100,Strong,30.92369477911647,Normal,NO,0.0,NO,Growth Investment,0.0,1616.0,172.0,Financial Stress
85,ADANIENSOL,Mar 2015,-35.0,-1864.0,1902.0,3.0,40,Weak,5325.714285714286,High,NO,9701.0,NO,Financial Stress,9701.0,11492.0,-1899.0,Stable
86,ADANIENSOL,Mar 2016,1544.0,-816.0,-722.0,6.0,100,Strong,52.84974093264248,High,NO,8585.0,NO,Growth Investment,8585.0,11746.0,728.0,Financial Stress
101,ADANIENT,Mar 2019,3236.0,2487.0,-6158.0,-436.0,100,Strong,76.85414091470952,High,NO,11243.0,NO,Stable,11243.0,42536.0,5723.0,Growth Investment
102,ADANIENT,Mar 2020,2454.0,-1082.0,-221.0,1151.0,100,Strong,44.09127954360228,Normal,NO,12419.0,NO,Growth Investment,12419.0,46875.0,1372.0,Stable
136,ADANIPOWER,Mar 2022,10233.0,774.0,-10338.0,669.0,100,Strong,7.563764291996482,Normal,NO,49145.0,NO,Stable,49145.0,81981.0,11007.0,Growth Investment
190,AGTL,Mar 2019,356.0,791.0,-1077.0,70.0,100,Strong,222.191011235955,High,NO,,NO,Stable,,,1147.0,Growth Investment
191,AGTL,Mar 2020,492.0,-461.0,-102.0,-71.0,100,Strong,93.69918699186992,High,NO,,NO,Growth Investment,,,31.0,Stable
