,id,year,market_cap_crore,enterprise_value_crore,pe_ratio,pb_ratio,ev_ebitda,dividend_yield_pct,free_cash_flow,fcf_yield_pct,sector_median_pe,pe_difference_pct
count,570.0,570.0,570.0,570.0,570.0,570.0,570.0,570.0,559.0,559.0,570.0,570.0
mean,274.0052631578947,2021.5,959709.3820701754,1057253.545140351,44.49854385964912,7.586596491228071,22.532877192982454,2.2458070175438594,1591.9302325581396,0.8133634286080001,43.55084210526316,2.6246202731053496
std,162.74990239002378,1.7093251939374128,681056.2129285928,752670.575318563,21.32213139747322,4.132352231926112,9.868685423520546,1.33772074785722,21965.04753265085,6.371688173630806,3.807474818264908,49.659782595166874
min,1.0,2019.0,33360.23,33277.06,8.14,0.51,5.01,0.01,-115427.0,-24.17088394254597,37.735,-83.06931692059328
10%,51.900000000000006,2019.0,228775.43600000002,247620.43600000005,14.889000000000001,1.86,9.065000000000001,0.43900000000000006,-11514.6,-1.720948111185433,37.955,-65.44848314920792
25%,131.25,2020.0,373067.64,433781.4375,26.6,4.095,13.9475,1.0425,-418.0,-0.06094586661658065,41.495,-38.07510178406053
50%,273.5,2021.5,857764.425,937849.08,44.215,7.595000000000001,22.95,2.22,1133.0,0.1360657589860642,43.585,0.0
75%,415.75,2023.0,1391035.965,1517912.525,63.6175,11.065,31.0025,3.4,5744.0,1.0515618683015395,44.145,43.65737154906893
90%,501.1,2024.0,1840499.4840000002,2069456.1350000005,74.208,13.465000000000002,35.815,4.1,18759.2,3.9091969965604405,49.83,71.94416395226217
max,552.0,2024.0,4173085.48,3837414.39,79.91,14.98,39.72,4.5,229049.0,124.7373180177784,49.83,110.8122432754737
